Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"",9780063045989,paperback,read,2025/11/21,2025/05/11,2025/05/11,1,"",,,,,,,4.0,"Is the ""American Dream"" dead? I guess we'd first need to define what the American Dream actually is. So often we think of it as the opportunity for upward mobility. Work hard and you'll be rewarded with a career, a house, a family, and stability. A collection of material successes.<br><br>But I think something more fundamental lies at the heart of the American Dream: the ability to constantly reinvent yourself. Underneath all those material milestones is something deeper—the freedom to become someone new. The modern markers of adulthood may be material things like a car, a diamond ring, a house, or even a child, but they also offer a new identity. You reinvent yourself as a ""driver,"" ""fiancé,"" ""homeowner,"" or ""parent.""<br><br>Reinvention is something we deeply crave as humans. As kids, we dress up and play make-believe. As adults, we look forward to being someone else, someone new, every Halloween. The freedom to constantly reinvent yourself is very core to the American identity. Consider that America is a country of immigrants. Many people who came through Ellis Island were given or chose a new name on the spot. They left behind old identities and old careers to become someone entirely new: an instant reinvention.<br><br>I picked up <i>Hillbilly Elegy</i> earlier this year after reading George Packer's Atlantic profile of Vance, <a href=""https://www.theatlantic.com/magazine/archive/2025/07/jd-vance-reinvention-power/682828/"">""The Talented Mr. Vance.""</a> Packer writes:<br><blockquote>""Still only 40, Vance is likelier than anyone to be the next president. [...] His rise has been so dramatic and self-dramatized that he calls to mind those emblematic figures from history who seem both out of a storybook and all too human, such as Shoeless Joe Jackson and Huey Long. [...] More than any other public figure of this century, including Barack Obama (to whom his career bears some similarities), and even Trump, Vance illuminates the larger subject of contemporary America's character. In another age, his rise might have been taken as proof that the American dream was alive and mostly well. But our age has no simply inspiring and unifying tales, and each chapter of Vance's success is part of a national failure: the abandonment of American workers under global neoliberalism; the cultural collapse of the working class; the unwinnable forever war; a dominant elite that combines ruthless competition with a rigid orthodoxy of identity; a reaction of populist authoritarianism. What seems like Vance's tragic wrong turn, the loss of real promise, was probably inevitable—it's hard to imagine a more hopeful plot.""</blockquote><br><i>Hillbilly Elegy</i> came out a few months before the 2016 election at the very last moment for a book like this to shape the national conversation. Just months later we entered a political era where it was no longer possible to have an honest response to a narrative across political battle lines.<br><br>In this memoir, Vance is earnest, sensitive, and kind. The book feels painfully sincere. The narrator is honest enough to show himself being hotheaded, cowardly, and insecure. He loves his family and community but is honest about their failures. He rejects tribal grievance. He doesn't settle for easy answers.<br><br>It's easy now to read <i>Hillbilly Elegy</i> as a work of bad faith: calculated and opportunistic. We view every line through a lens of suspicion because of who Vance is today. But I think that to do so would be extremely unfair.<br><br>Vance's change between then and now is perhaps another example of this idea that the true American Dream is constant reinvention. J.D. Vance's life has been one long, dramatic reinvention: poor hillbilly, Marine, Yale lawyer, venture capitalist, memoirist, Never Trump politician, Trump's vice president. Just 41 years old, and Vance has reinvented himself many times over.<br><br>There's something unsettling about knowing that people change and reinvent themselves. It's like going to your partner's childhood home over the holidays and realizing a different version of them existed for their family — a version you'll never meet. People constantly shed themselves in tiny increments and sometimes end up very different from who you first knew. It's a type of loss.<br><br>But for us as individuals, there's something beautiful and alluring and hopeful in the idea that we're not stuck with one fixed self. Reinvention keeps New Year's resolutions alive. It motivates people to go to therapy, to the gym, to bookstores.<br><br>If we consider the ability to ""reinvent yourself"" and reboot your identity as central to the American Dream, we must also consider how our digital age makes this increasingly impossible. Reinvention used to be a matter of moving across the country or choosing a new job title. Now, a few seconds after meeting someone, we can type their name into the Instagram search bar and scroll back through years of pictures. Just cosmetically, we can find the before and after of a boob job, lip filler, or rhinoplasty. We can find someone's natural hair color or determine if the timeline in which they lost weight means they're on Ozempic.<br><br>A bad joke from 2012 can resurface in 2025; it doesn't matter that 2025 you would never say something like that. 2012 you did. You can't outrun your past when every earlier version of yourself is catalogued, searchable, and screenshot-able.<br><br>It's much more anxiety-inducing to try and become someone new, take the leap of reinvention, and try to be someone better when there's always the threat of your past mistakes resurfacing. Your reinvention being deemed inauthentic by the observer who can compare multiple versions of you.<br><br>In the same Atlantic piece, Packer wrote: ""With his gifts of intellect and rhetoric, Vance might have brought the country’s conflicting strands together. They had combined to make him, and he knew them deeply—their flaws, their possibilities, their entwined fate. Instead, he took a path of extreme divisiveness to the peak of power, becoming a hard-line convert to the Catholic Church, post-liberal populism, and the scorched-earth cause of Donald Trump. Vance became a scourge of the elites among whom he’d found refuge, a kingpin of a new elite, avenging wrongs done to his native tribe.""<br><br>I wonder if it would be possible for Vance to reinvent himself again? To change his views and become a force for unity, as Packer suggested was possible pre-Trump? I think 25 years ago, the answer would have been yes. But today, I think it's no. Every future version of Vance will have to coexist with every past version, archived online forever, weaponized by every opponent, lingering in every search result.<br><br>On the surface, this is kind of comforting. The fact that we have a way to record the bad things people have done makes us less likely to be tricked or deceived. We can judge a person's goodness based on the digital artifacts of their past. But the more we think about it, the sadder it becomes. By constantly comparing people to their former selves, we don't give them the space to grow and change. And how can we ever become a better country if we don't allow for that growth?<br><br>If the American Dream has always rested on the possibility of redemptive reinvention—on the belief that who we were doesn't have to define who we are—then without that possibility, we lose more than individual transformation. We lose our collective capacity for progress.","",,"",No
The 3-Minute Rule: Say Less to Get More from Any Pitch or Presentation,Brant Pinvidic,"",,,read,2025/03/13,"","",1,"",,,,,,,3.0,"There’s an irony in presenting a 'be concise' thesis as a 250-page book. While the page count might be necessary for marketability, it inevitably brings some filler. That aside, I thought this was excellent.<br><br>I’m currently struggling to explain my startup without spiraling into a rambling pitch that leaves me feeling like a terrible salesperson. This book offered a useful framework for brainstorming, identifying what makes my product compelling, and structuring that narrative for an audience.<br><br>Best of all, it avoids salesy gimmicks and cookie-cutter strategies that never feel natural to execute. The emphasis is on clear, authentic, evidence-based communication — presenting the facts and trusting the audience to reach the right conclusion without needing to declare my approach revolutionary or over-explain points that they likely understand or can confidently infer.<br>","",,"",No
An Absolutely Remarkable Thing,Hank Green,"",9781524743451,digital,read,2024/06/02,2024/08/05,2024/08/05,1,"",,,,,,,2.0,"DNF - I liked the plot (at least of the first 100 or so pages I got through), but had a really hard time with the writing style.","",,"",No
American Dirt,Jeanine Cummins,"",9781250754080,paperback,to-read,2025/06/29,"","",0,"",,,,,,,,,"",,"",No
Beloved,Toni Morrison,"",9780099760115,paperback,to-read,2024/01/13,"","",0,"",,,,,,,,,"",,"",No
Selected Essays,John Berger,"",9780375421563,hardcover,read,2024/10/19,2024/11/06,2024/11/06,1,"",,,,,,,4.0,"I bought this book because of a passage from Berger’s “Ways of Seeing” that I encountered in an art history class years ago and still think about all the time: <br><br>“""Men dream of women. Women dream of themselves being dreamt of. Men look at women. Women watch themselves being looked at. Women constantly meet glances which act like mirrors reminding them of how they look or how they should look. Behind every glance is a judgment. Sometimes the glance they meet is their own, reflected back from a real mirror [...] She is almost continually accompanied by her own image of herself. Whilst she is walking across a room or whilst she is weeping at the death of her father, she can scarcely avoid envisaging herself walking or weeping. From earliest childhood she has been taught and persuaded to survey herself continually. She has to survey everything she is and everything she does because how she appears to others and in particular how she appears to men is of crucial importance for what is normally thought of as the success of her life.""<br><br>Berger was the first to analyze this concept of “male gaze” and in doing so served as inspiration for many other modern day feminist works/research.<br><br>As far as this collection of selected essays go, I was very happy with how comprehensive it was. Berger was a great essayist and wrote prolifically. Candidly, I’m marking this as read without finishing the entire book (I read about 1/3 of the essays) but will definitely come back and finish it with I feel like I can stomach some more dense -but very interesting!- art criticism.<br><br>My favorites so far have been “Art and Property Now” and “The Changing View of Man in the Portrait”.","",,"",No
Anne of Green Gables,L.M. Montgomery,"",9780147514004,hardcover,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Catherine the Great: Portrait of a Woman,Robert K. Massie,"",9780679456728,hardcover,read,2024/02/20,2024/04/04,2024/04/04,1,"",,,,,,,3.0,I loved the first 1/2 of this biography (basically up until her memoirs stopped). The second half dragged a bit and - at least in my opinion - went too in-depth about specific public policies and people who weren’t Catherine.,"",,"",No
The Tell-Tale Heart,Edgar Allan Poe,"",9780141397269,paperback,read,2024/02/26,"","",1,"",,,,,,,4.0,A memorable short story. I read this a couple weeks after finishing “Crime and Punishment” and thought that “The Tell-Tale Heart” makes a great companion piece.,"",,"",No
Malibu Rising,Taylor Jenkins Reid,"","",paperback,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
New York Sleeps,"Petra Giloy-Hirtz, Christopher Thomas, Ira Stehmann","",9783791342344,hardcover,read,2023/09/19,"","",1,"",,,,,,,,,"",,coffee-table,No
Range: Why Generalists Triumph in a Specialized World,David Epstein,"",9780735214484,hardcover,read,2022/07/26,2022/08/07,2022/08/07,1,"",,,,,,,4.0,A book I will definitely be coming back to &amp; recommend to friends. This is one that definitely opens up a new perspective on how to navigate (and maybe not so much plan for) life.,"",,"",No
Anna Karenina,Leo Tolstoy,"Richard Pevear (Translator), John Bayley (Contributor), Larissa Volokhonsky (Translator)",9780141199610,hardcover,read,2023/04/02,2023/05/03,2023/05/03,1,"",,,,,,,4.0,"Tolstoy's has an amazing ability to show how we change our minds, or how our minds just do change - how enamored we become of a person, a place, a whole population, an idea, an ideal - and then how that great love, which seemed so utterly meaningful and complete, sours or evaporates just days, hours, or even minutes later.<br><br>In Anna Karinina, just like in real life, there are no real villains, no real unsympathetic characters that cause obstacles for our heroes, the villains whom it feels good to hate. No, everyone, in addition to their pathetic little ugly traits also has redeeming qualities. Anna's husband, despite appearing as a monster to Anna after her passionate affair, still is initially willing to give her the freedom of the divorce that she needs. Stiva Oblonsky, repulsive in his carelessness and cheating, wins us over with his gregarious and genuinely friendly personality; Anna herself, despite her outbursts, is a devoted mother to her son (at least initially). Levin may appear to be monstrous in his jealousy, but the next moment he is so overwhelmingly in love that it's hard not to forgive him.<br><br>This is definitely a book that I will have to reread  after I can relate to more of the life experiences that these characters went through.","",,"",No
"Slow Days, Fast Company",Eve Babitz,Matthew Specktor (Contributor),9781681370088,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
House of Sky and Breath,Sarah J. Maas,"",9781408884423,hardcover,read,2022/08/07,2023/08/09,2023/08/09,1,"",,,,,,,3.0,"I postponed reading this series for YEARS because I was so afraid of it giving me the months long book hangover that her other series (ACOMAF / TOG) have. I don’t know whether to be relived or disappointed that that was not the case. <br><br>If my expeditions were not so high, I probably would have adored it. Exceptions being where they were I found it to be a mostly entertaining mess. I also feel like this second installment really lacked for a plot, it was basically just 1000 enjoyable pages of setup for the third book.<br><br>Things I liked: <br><br>- I adored Rhun and loved the day / night relationship! This is the storyline I’m most excited to see play out in CC3.<br><br>Things I disliked:<br><br>- The language used is so explicit it looses all meaning. I don’t mind explicit language, but by using it so frequently it really looses all its meaning. It feels when teenagers are constantly swearing in order to seem/feel “grown up”. In Maas’s first series as an adult novelist, she uses swearing and graphic scenes as a crutch in an attempt to make these feel different from her previous YA writing.<br><br>- “male gaze”: Bryce is constantly sexualized in this book which, although annoying, I could accept from the standpoint of it being something she embraces. The concept of there being power in sexuality is obviously not new. However, the way that Maas conveys this really feels like the was that a male author would write a woman embracing her sexuality vs the way that a female author would.<br><br>- What is up with Danika and all her secrets? Can’t there be another way to introduce a plot twist? I feel like all the plot twist were predictable and feel a little flat (even the identify of day’s character was not much of a surprise).<br><br>My Unpopular Opinions: <br><br>- Bryce. I don’t love her. I also don’t know if I was ever fully on board with Bryce and Hunt, but I feel like they lost a lot of chemistry in this installment. All of the fun banter and friendship has been replaced by super cringey sex. Honestly, despite being mates, I’ll be surprised if they end up together.<br><br>- I did not love the ending. For context, I didn’t love “Avengers: Endgame” but I know that a large majority of people do so feel free to take this critique with a grain of salt. I worry that by reintroducing beloved characters from her previous works Maas is taking the “easy way out” rather than taking the time to fully develop some of the the other supporting characters from the this universe (and there is no shortage of supporting characters to choose from in the CC universe).","",,"",No
Sense and Sensibility,Jane Austen,"",9780141040370,hardcover,read,2023/09/02,2023/09/07,2023/09/07,1,"",,,,,,,3.0,"I read Pride and Prejudice for the first time right before picking up Sense and Sensibility. I adored P&amp;P. I thought maybe I was an Austin fan, but Sense and Sensibility was not for me.","",,"",No
Eisenhower in War and Peace,Jean Edward Smith,"",9781400066933,hardcover,to-read,2025/12/27,"","",0,"",,,,,,,,,"",,"",No
Braiding Sweetgrass,Robin Wall Kimmerer,"",9781571313355,hardcover,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
Hello Beautiful,Ann Napolitano,"",9780241628263,hardcover,read,2023/09/01,2023/11/05,2023/11/05,1,"",,,,,,,2.0,"This book has its moments, but was not for me. Maybe this is because I identified with Julia in the beginning only to watch her completely turn her back on her family, or maybe I didn’t like it because all of the characters felt a little incomplete/inconsistent character-wise.","",,"",No
The Adventures of Tom Sawyer,Mark Twain,"",9780143039563,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
The Odyssey,Homer,E. V. Rieu (Translator),9780141192444,hardcover,to-read,2023/09/19,"","",0,"",,,,,,,,,"",,"",No
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,"",9780593418574,hardcover,read,2025/09/07,2025/09/10,2025/09/10,1,"",,,,,,,3.0,"I enjoyed this! The stories and anecdotes were fun, though I may have appreciated them even more as a fan of “The Bear”. It was interesting to see how moments from Will Guidara’s life were adapted and written into the show (he’s an executive producer and writer on it).<br><br>I’m not sure it would have been quite as enjoyable on its own if I hadn’t had the chance to connect the dots between the two.","",,"",No
The Bell Jar,Sylvia Plath,"",9780571268863,paperback,to-read,2024/11/22,"","",0,"",,,,,,,,,"",,"",No
Emma,Jane Austen,"",9780141192475,hardcover,read,2023/09/19,2023/09/23,2023/09/23,1,"",,,,,,,4.0,"Emma’s character is exasperating &amp; I love her. It took me a while to get though this book, but I’m excited to reread it. I’m confident it’s one of those that gets better and better with each revisit.<br><br>I also loved the 2020 adaption &amp; think Anya Taylor-Joy does a brilliant job.","",,"",No
Our Town,Thornton Wilder,"Donald Margulies (Contributor), Tappan Wilder (Contributor)",9780060512637,paperback,read,2025/01/15,2025/01/20,2025/01/20,1,"",,,,,,,5.0,"Thorton Wilder opens <i>Our Town</i> with precise, almost clinical specificity:<br><blockquote>""<b>STAGE MANAGER:</b> This play is called “Our Town.” It was written by Thornton Wilder; produced and directed by A.&nbsp;.&nbsp;.&nbsp;. (or: produced by A.&nbsp;.&nbsp;.&nbsp;.&nbsp;; directed by B.&nbsp;.&nbsp;.&nbsp;.). In it you will see Miss C.&nbsp;.&nbsp;.&nbsp;.&nbsp;; Miss D.&nbsp;.&nbsp;.&nbsp;.&nbsp;; Miss E.&nbsp;.&nbsp;.&nbsp;.&nbsp;; and Mr. F.&nbsp;.&nbsp;.&nbsp;.&nbsp;; Mr. G.&nbsp;.&nbsp;.&nbsp;.&nbsp;; Mr. H.&nbsp;.&nbsp;.&nbsp;.&nbsp;; and many others. The name of the town is Grover’s Corners, New Hampshire—just across the Massachusetts line: latitude 42 degrees 40 minutes; longitude 70 degrees 37 minutes. The First Act shows a day in our town. The day is May 7, 1901. The time is just before dawn.""</blockquote><br><br>This opening pins the play to an exact time and place. Even when the play first premiered in 1938, 1901 was already long past. And yet, <i>Our Town</i> resonates deeply. Why?<br><br>In recent years, I’ve been obsessed with Noah Kahan’s album <i>Stick Season</i>, which captures the specificity of his experience growing up in small-town Vermont. The album’s title — <i>Stick Season</i> — refers to what Kahan describes as a uniquely New England phenomenon: the transitional period between the fall and winter.<br><br>Kahan often expresses his surprise and gratitude that the album resonates far beyond New England. He marvels at the fact that audiences from across the globe show up to sing, dance, and cry to his songs about small-town life: ""They can’t all be from Vermont or New Hampshire. They’re from all over the world and all over the country, and it’s an unbelievable feeling.""<br><br>This phenomenon, that the specific is often what resonates the most universally, is at the heart of Our Town. The truths embedded in Grover’s Corners belong to all of us. As Wilder shows, specificity doesn’t alienate. Specificity invites us in. Its universality isn’t born from grand gestures but from small truths: the rituals of family breakfasts, the awkwardness of first love, the unrelenting passage of time.<br><br>Like Kahan’s songs, Our Town roots itself in the deeply personal, making it all the more meaningful to audiences far removed from its setting.<br><br>Unlike Kahan, I don’t think Wilder was surprised by his play’s universal appeal. The title, Our Town, speaks for itself. It suggests ownership, connection, and shared humanity. Grover’s Corners becomes a microcosm of the human experience.<br><br>I decided I pick up <i>Our Town</i> after finishing Ann Patchett's Tom Lake. Given that Tom Lake had already ""spoiled"" the ending for me, I wasn't expecting this play to make me that emotional. I knew, or at least thought I knew, what was coming.<br><br>I was very very wrong. I watched some stolen version on YouTube of the TV movie for the 2003 Westport Country Playhouse production with Paul Newman as Stage Manager and I <i>sobbed</i> at the end. When reading a note from Wilder's nephew at the end of the script, I learned that this particular production came together, at least in part, as a response to 9/11: <br><br><blockquote>""Theaters increasingly turn to <i>Our Town</i> seeking a way to celebrate and depict hard-won lessons about the preciousness of life and community in the wake of trauma. Take, for example, Joanne Woodward’s decision to produce <i>Our Town</i>, starring Paul Newman, at Westport Country Playhouse in Connecticut, and later on Broadway, in response to the 9/11 attacks. And following the 2017 suicide bombing at Manchester Arena in the UK, the Manchester Royal Exchange Theatre mounted an enormously moving, successful production of <i>Our Town</i> dedicated to the memory of those who had died.""</blockquote><br><br>Emily’s final words resonate deeply: “Oh, earth, you're too wonderful for anybody to realize you. Do any human beings ever realize life while they live it—every, every minute?” The beauty of life lies in its smallest moments and that noticing them is what it means to be human.","",,"",No
A Wrinkle in Time,Madeleine L'Engle,"",9781250153272,paperback,read,2023/09/02,2025/08/04,2025/08/04,1,"",,,,,,,3.0,"I just finished re-reading A Wrinkle in Time, and the parallels to today’s climate, especially around AI, are haunting.<br><br>The story follows 13-year-old misfit Meg Murry, her brilliant younger brother Charles Wallace, and their new friend Calvin as they travel through space and time to rescue Meg and Charles’s father, who is imprisoned on the planet Camazotz.<br><br>If you've read A Wrinkle in Time, you might remember Camazotz, where every house is the same and children bounce balls in perfect synchrony, their movements dictated by an invisible force. It’s a chilling image. Everyone from the planet is placidly content as their every thought and action is controlled by IT, a disembodied brain that has taken over all decision-making. No one thinks for themselves. There is neither opportunity nor desire for individuality.<br><br><img src=""https://substackcdn.com/image/fetch/$s_!RUfU!,f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F34de561b-87a6-4c0c-8f9d-f2c0a0951b6a_480x200.gif"" alt=""description""><br><br>Relinquishing control to IT has a powerful appeal. It promises peace and freedom, and in many ways, it delivers. Letting IT make all the decisions removes anxiety, eliminates difficult choices, and protects people from the pain and uncertainty that come with thinking for themselves.<br><br>Life on Camazotz is frictionless. No one struggles. No one fails. No one has to face the unknown.<br><br>But it's not freedom with a capital F. It's the absence of everything that makes us human—struggle, growth, love, purpose. The residents of Camazotz have abdicated humanity for comfort, and what they've gotten in return is a kind of living death.<br><br>When IT tries to convince Meg, Charles Wallace, and Calvin to surrender to its all-controlling power, the offer is seductive. Why suffer when you could be at peace? Why deal with the pain of being different? Why make hard decisions when someone infinitely smarter could make them for you?<br><br>It is the same temptation behind students submitting AI-written essays or job seekers using AI agents as interview surrogates. Wouldn't it be easier to let the machines handle the hard parts?<br><br>I wrote more about a wrinkle in time &amp; AI on my substack: <a href=""https://graceraper.substack.com/p/terrified-of-agi-pick-up-a-children"">Terrified of AI? Pick up a Children's Book</a>","",,"",No
Crown of Midnight,Sarah J. Maas,"",9781639730964,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
The Black Cat,Edgar Allan Poe,"",9780930350871,paperback,read,2024/02/03,"","",1,"",,,,,,,5.0,This is currently my favorite the of Edgar Allen Poe’s short stories I have read thus far.,"",,"",No
My Brilliant Friend,Elena Ferrante,Ann Goldstein (Translator),9781609458638,digital,currently-reading,2026/01/07,"","",0,"",,,,,,,,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9781476746586,hardcover,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
The Taming of the Shrew,William Shakespeare,"",9780743477574,paperback,read,2025/05/24,2025/05/24,2025/05/24,1,"",,,,,,,5.0,"Problematic as it may be, I loved it.<br><br>As a Washington/Seattle girl, one of my comfort movies is <i>10 Things I Hate About You</i>. Until recently, I hadn’t realized that Shakespeare’s <i>The Taming of the Shrew</i> was the source material for the film. The play is also where the expressions <i>“kill with kindness”</i> and <i>“break the ice”</i> come from.<br><br><i>The Taming of the Shrew</i> is often criticized for its mistreatment of Kate — interpreted by modern audiences as a parable about breaking a woman’s spirit. You can’t throw a stone without hitting someone who will lament on just how misogynistic this play is, so instead I’ll present an alternative interpretation: Kate meets her match in Petruchio, and vice versa. They are both total nutcases and they match each other’s freak.<br><br>If you’ve got an hour, <a href=""https://youtu.be/gH9FsjtBLSI?si=TFs_rDYNkmdvCdxF""> this early performance </a> from a young Meryl Streep at the very start of her career is worth a watch. And here’s the accompanying <a href=""https://www.nytimes.com/1978/08/06/archives/shakespeares-shrew-with-no-apologies-shakespeares-shrew-with-no.html""> 1978 <i>New York Times</i> article</a>.","",,"",No
Notes from Underground,Fyodor Dostoevsky,"Larissa Volokhonsky (Translator), Richard Pevear (Translator)",9781400041916,hardcover,read,2025/11/11,2025/12/29,2025/12/29,1,"",,,,,,,3.0,"I had a really hard time with this. It is definitely not the type of book to be read in short increments before bed (which is how I read it). I'll definitely have to try again! I loved Dostoevsky's <i>Crime and Punishment</i> — it ranks among my all-time favorites, but I think this was much less approachable and more difficult even though it was shorter.","",,"",No
A Court of Mist and Fury,Sarah J. Maas,"",9781635575583,paperback,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
The Snow Child,Eowyn Ivey,"",9780316175678,hardcover,to-read,2025/02/20,"","",0,"",,,,,,,,,"",,"",No
Beartown,Fredrik Backman,Marin Ireland,9781508231530,audio,to-read,2025/11/08,"","",0,"",,,,,,,,,"",,"",No
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"",9780394720241,paperback,to-read,2024/03/03,"","",0,"",,,,,,,,,"",,"",No
"The Longevity Economy: Unlocking the World's Fastest-Growing, Most Misunderstood Market",Joseph F. Coughlin,"",9781610396639,hardcover,read,2025/08/04,2025/08/07,2025/08/07,1,"",,,,,,,3.0,I read this so I’d have stuff to talk about on LinkedIn… for that it was great! Honestly it was pretty great in general. Age tech is a super interesting space in the way that businesses often approach building for older adults.,"",,"",No
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"",9780316296618,hardcover,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
A Court of Thorns and Roses,Sarah J. Maas,"",9781635575569,paperback,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Alchemised,SenLinYu,"",9780593972700,hardcover,to-read,2025/09/28,"","",0,"",,,,,,,,,"",,"",No
Middlemarch,George Eliot,"Rosemary Ashton (Contributor), Coralie Bickford-Smith (Illustrator)",9780141196893,hardcover,read,2023/08/17,2024/03/28,2024/03/28,1,"",,,,,,,5.0,"This is my new favorite book. It’s long &amp; slow-going, but it’s also nearly perfect.","",,favorites,No
Tess of the d'Urbervilles,Thomas Hardy,"Margaret R. Higonnet (Contributor), Tim Dolin (Contributor)",9780141040332,hardcover,to-read,2023/10/23,"","",0,"",,,,,,,,,"",,"",No
The Assassin's Blade,Sarah J. Maas,"",9781619632219,digital,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
And Now I Spill the Family Secrets: An Illustrated Memoir,Margaret Kimball,"",9780063007444,paperback,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
The Hobbit,J.R.R. Tolkien,"",9780261103283,hardcover,read,2023/09/02,2023/09/18,2023/09/18,1,"",,,,,,,3.0,This is a perfect read aloud / fireside book for kids. Did I need to read it as an adult? Probably not. The writing style made this pretty boring at times.,"",,"",No
Demon Copperhead,Barbara Kingsolver,Charlie Thurston (Narrator),9780571376506,audio,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
The Buccaneers,"Angela Mackworth-Young, Edith Wharton","",9780140241648,paperback,read,2023/11/11,2023/11/14,2023/11/14,1,"",,,,,,,3.0,I was lured into reading this book after watching the first few episodes of the 2023 Apple TV adaptation.,"",,"",No
Onyx Storm,Rebecca Yarros,"",9781649374189,hardcover,read,2025/01/23,2025/01/25,2025/01/25,1,"",,,,,,,2.0,The writing felt super rushed! I also found it very challenging to track the myriad of characters. I'll read the next one though. Glad author is taking a longer break between books.,"",,"",No
Of Ghosts and Goblins,Lafcadio Hearn,"",9780241573723,hardcover,to-read,2024/01/18,"","",0,"",,,,,,,,,"",,"",No
Jane Eyre,Charlotte Brontë,"",9780141040387,hardcover,read,2022/08/07,2023/03/31,2023/03/31,1,"",,,,,,,5.0,"This is definitely an all time favorite. I also think it’s WAY better as a reread when you know that it picks up after the first 120 pages. It almost (but not quite) makes those first 120 pages enjoyable.<br><br>~~~~~~~~~~~~~~~~~~~~~~<br><br>March 2023: <br><br>I wanted to read more classics this year, and I fear that by starting with Jane Eyre, my goal will go unrealized. It is hard to imagine a story that will top this one. Brontë beautifully depicts the strength of the human spirit and the importance of being true to yourself &amp; your beliefs.","",,favorites,No
Under a White Sky,Elizabeth Kolbert,"",9780593136270,hardcover,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
Little Women,Louisa May Alcott,Anna Bond (Illustrator),9780147514011,hardcover,read,2023/09/24,2023/09/28,2023/09/28,1,"",,,,,,,5.0,I can’t believe I missed out on reading this book in my childhood. Loved it.,"",,"",No
"Idol, Burning",Rin Usami,Asa Yoneda (Translator),9780063213289,hardcover,to-read,2024/03/14,"","",0,"",,,,,,,,,"",,"",No
